entryid,childDownloadUrl,parentDownloadUrl,name,result
1_azcys506,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_3mvrqv6l/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_azcys506/format/download/protocol/https/flavorParamIds/0,WR1_Arber_Kerhanaj,OK
1_a5mffejj,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_0p8a1u8y/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_a5mffejj/format/download/protocol/https/flavorParamIds/0,"RW1_Elena_Weber - Januar 23. 2021, 1:17:59 pm",OK
1_kg6daozy,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_we6m11fn/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_kg6daozy/format/download/protocol/https/flavorParamIds/0,Jasmin Bosshard_WR1,OK
1_jy6tbhj4,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_pfj4abra/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_jy6tbhj4/format/download/protocol/https/flavorParamIds/0,WR1_Diana_Simic,OK
1_daurvy6b,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_isajgd66/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_daurvy6b/format/download/protocol/https/flavorParamIds/0,WR1_Martina_Kubacki,OK
1_h2gqkoqg,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_n4gqd0jp/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_h2gqkoqg/format/download/protocol/https/flavorParamIds/0,WR1_Noelia_Pérez,OK
1_3n5fq9km,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_rq2pysm2/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_3n5fq9km/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 1:41:03 pm",OK
1_kxwk2v3n,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_j8gdbid8/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_kxwk2v3n/format/download/protocol/https/flavorParamIds/0,"Kaltura Capture recording - Januar 23. 2021, 1:33:47 pm",OK
1_cshgrqte,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_rze5jbai/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_cshgrqte/format/download/protocol/https/flavorParamIds/0,WR1-HS20/21_Gzim_Hasanaj,OK
1_a2t81o22,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_4ko0g036/format/download/protocol/https/flavorParamIds/0,https://cdnapisec.kaltura.com/p/1756241/sp/175624100/playManifest/entryId/1_a2t81o22/format/download/protocol/https/flavorParamIds/0,Modulprüfung-WR1-HS20/21_Simone_Tuccio,OK
